,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
255,Arnold Mvuemba Lyon,37, DMC,,14(2),1231,1,0.9,34.4,90.6,0.5,3.4,-,6.73
256,Brice Dja Djédjé Marseille,31, D(R),DMC,8(3),794,3,1.3,24.9,83.2,0.8,1.4,-,6.72
257,Lionel Zouma Sochaux,29, D(C),,13(3),1115,-,0.3,17.9,69.0,-,1.0,-,6.72
258,Atila Turan Reims,30, D(L),M(L),10(5),1018,1,0.4,26.7,71.5,0.9,1.1,-,6.71
259,Odaïr Fortes Reims,35, AM(LR),,28(7),2547,4,1.1,27.0,72.6,0.6,0.7,0.1,6.71
260,Fatih Atik Guingamp,38, M(CR),,18(10),1658,4,1.2,25.7,76.5,1.3,1.0,0.1,6.71
261,Guillermo Ochoa AC Ajaccio,37, GK,,37,3330,-,-,18.2,55.8,-,5.4,-,6.71
262,Abdou Traoré Bordeaux,34, M(C),,13(4),1143,-,0.6,34.4,87.5,0.2,3.1,-,6.7
263,Lamine Gassama Lorient,33, D(R),,24,2045,1,0.4,33.1,69.5,0.4,1.9,-,6.7
264,Carl Medjani Valenciennes,37, D(C),DMC,16,1424,-,0.3,29.2,76.0,-,2.5,-,6.7
265,Guillaume Hoarau Bordeaux,38, FW,,9(6),925,-,0.5,22.2,65.2,0.1,0.3,0.1,6.7
266,Loris Nery Valenciennes,31, D(LR),,15(4),1385,1,0.5,25.1,68.1,0.3,1.2,-,6.7
267,Javier Pastore PSG,33, AM(CLR),,18(11),1580,3,1,50.0,84.5,0.3,3.6,0.1,6.7
268,Giannelli Imbula Marseille,30, M(C),,12(16),1289,-,0.2,28.5,89.2,-,1.9,0.1,6.7
269,Milan Bisevac Lyon,39, D(C),,27,2319,-,0.1,36.9,88.5,-,3.1,-,6.7
270,Alejandro Bedoya Nantes,35, M(CR),FW,24(7),2205,-,0.8,27.0,80.9,0.1,0.7,0.1,6.7
271,Jussiê Bordeaux,39, M(C),FW,15(7),1341,1,0.8,21.3,78.5,0.1,1.0,-,6.7
272,Mustapha Yatabaré Guingamp,36, AM(R),FW,30(1),2672,3,1,19.4,69.5,0.4,0.4,-,6.7
273,Laurent Pionnier Montpellier,40, GK,,4(1),419,-,-,13.6,45.6,-,3.6,-,6.69
274,Christian Brüls Nice,34, AM(CLR),,26(8),2180,5,1.3,26.4,73.2,0.9,1.3,0.1,6.68
275,Lloyd Palun Nice,33, D(R),,7(2),620,-,0.1,35.1,81.6,0.2,1.3,-,6.68
276,Cédric Cambon Evian,36, D(C),,14(11),1534,-,0.2,23.2,80.7,-,3.3,-,6.68
277,Christopher Glombard Reims,33, D(R),M(R),8,579,-,0.1,28.5,78.5,0.3,0.4,-,6.67
278,Claude Dielna AC Ajaccio,34, D(CL),,18(4),1681,1,0.2,29.6,68.9,-,2.0,-,6.67
279,Jean-Christophe Bahebeck Valenciennes,29, AM(LR),FW,11(8),1124,1,0.8,15.2,77.9,0.7,0.5,0.1,6.67
280,Óscar Trejo Toulouse,34, M(CLR),FW,23(9),2073,1,1.0,40.1,82.1,0.2,1.0,0.2,6.67
281,Martin Braithwaite Toulouse,31, AM(CLR),FW,30(2),2609,6,0.8,18.3,74.8,0.2,0.3,0.1,6.67
282,Eduardo AC Ajaccio,42, FW,,7(2),693,-,1.1,24.8,72.2,0.4,0.4,-,6.67
283,Anthony Martial Monaco,26, AM(LR),FW,8(3),571,1,1.1,15.0,81.8,0.3,0.2,-,6.67
284,Corentin Tolisso Lyon,28, D(R),M(CR),8(6),787,-,0.2,29.7,82.7,0.2,1.7,-,6.67
285,Diego Rolan Bordeaux,29, AM(CLR),FW,13(5),1078,4,0.8,17.2,79.0,0.4,0.3,0.1,6.67
286,Jordan Veretout Nantes,29, M(C),,24(3),1958,5,1.4,33.9,80.0,0.9,1.7,0.1,6.67
287,Emmanuel Rivière Monaco,32, FW,,21(9),1755,2,0.8,14.5,77.5,0.1,0.1,-,6.67
288,Benoit Pedretti AC Ajaccio,41, M(C),,14,1043,2,1.4,34.0,76.7,0.8,4.2,0.2,6.66
289,Brandão Saint-Etienne,42, FW,,18(8),1761,2,0.8,13.7,67.4,0.1,0.3,-,6.66
