,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
222,Jordan Amavi Marseille,28, D(L),M(L),2,130,-,-,-,0.5,-,0.5,-,1.5,1,6.61
223,Alexander Nübel Monaco,25, GK,,38,3420,-,-,-,-,-,0.1,-,-,-,6.61
224,Ibrahim Amadou Metz,29, D(C),DMC,10,815,1,-,0.3,0.3,0.6,0.4,-,0.5,0.9,6.61
225,Paul Lasne Brest,33, M(CLR),,9(6),847,-,1,0.5,0.5,0.4,1.0,-,0.7,0.6,6.61
226,Toma Basic Bordeaux,25, M(C),,3,212,-,1,0.7,1.7,0.3,0.7,-,-,1.3,6.61
227,Duje Caleta-Car Marseille,25, D(C),,24(2),2062,2,-,0.5,0.1,-,0.2,-,-,0.3,6.6
228,Lucas da Cunha Clermont Foot,21, AM(R),,11(4),844,2,-,1.2,0.9,1.3,0.3,0.1,1.6,1.1,6.6
229,Yoann Salmier Troyes,29, D(C),,30(1),2671,-,1,0.3,0.3,0.4,0.9,-,0.4,0.4,6.6
230,Florent Mollet Montpellier,30, AM(CLR),,32(3),2649,6,2,1.6,0.9,0.4,1.4,0.3,0.9,1.7,6.6
231,Jens Cajuste Reims,23, DMC,,4(4),365,2,-,1.1,0.3,1.1,1,-,0.8,0.8,6.6
232,Dogan Alemdar Rennes,19, GK,,12,1080,-,-,-,-,-,-,-,-,-,6.6
233,Thiago Mendes Lyon,30, D(CR),M(CR),21(8),1864,1,1,0.6,0.5,0.1,0.6,-,0.5,0.6,6.59
234,Jérémy Morel Lorient,38, D(CL),,6(3),602,-,-,0.1,0.1,0.2,0.6,-,0.2,0.4,6.59
235,Bonke Innocent Lorient,26, DMC,,11(1),878,-,-,0.3,0.3,0.4,0.5,-,0.5,0.8,6.59
236,Maxime Busi Reims,22, D(R),M(R),13(5),1297,1,-,0.3,0.9,0.8,0.4,-,0.5,1.7,6.59
237,Pau López Marseille,27, GK,,29,2610,-,1,-,-,-,0.1,-,-,-,6.59
