,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
223,Youssef Aït Bennasser Caen,26, DMC,,25(2),2054,-,0.4,41.5,83.2,0.1,4.1,-,6.72
224,Ismael Traoré Angers,36, D(CR),,32,2857,1,0.1,34.7,83.9,-,2.4,-,6.72
225,Vincent Pajot Saint-Etienne,32, M(C),,15(5),1291,2,0.5,27.8,78.1,-,1.4,0.1,6.72
226,Andy Delort Toulouse,31, AM(R),FW,25(7),2336,5,1.4,22.4,61.2,0.8,0.6,-,6.71
227,Dante Nice,39, D(C),,33,2920,-,0.2,70.5,91.9,-,5.1,-,6.71
228,Kévin Théophile-Catherine Saint-Etienne,33, D(CLR),,24(1),2164,-,0.2,43.1,82.4,-,3.2,-,6.71
229,Luiz Araújo Lille,26, AM(CLR),FW,24(10),2025,3,0.6,19.9,76.1,0.5,1.3,0.1,6.7
230,Chidozie Awaziem Nantes,25, D(CR),,16(6),1510,1,0.2,26.7,76.5,-,2.2,-,6.7
231,Ciprian Tatarusanu Nantes,36, GK,,37,3330,-,-,24.6,56.5,-,7.1,-,6.7
232,Gerzino Nyamsi Rennes,25, D(C),,3,270,-,-,28.0,81.0,-,2.7,-,6.69
233,Samuel Grandsir Troyes,26, AM(LR),,29(7),2608,4,0.9,23.4,75.2,0.5,0.8,-,6.69
