,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
167,Matheus Cunha Hertha Berlin,23, AM(CL),FW,1,65,1,1,13.0,84.6,-,-,-,6.68
168,Gregor Kobel Borussia Dortmund,24, GK,,29,2566,-,-,30.3,79.4,-,3.8,-,6.68
169,Djibril Sow Eintracht Frankfurt,25, DMC,,28(3),2422,3,0.6,39.1,82.9,0.1,2,0.1,6.67
170,Kevin Trapp Eintracht Frankfurt,32, GK,,32,2880,-,-,34.5,61.5,-,6.6,-,6.67
171,Marc Oliver Kempf Stuttgart,27, D(C),,10(2),841,-,0.4,47.9,82.1,-,2.1,0.2,6.67
172,Konrad Laimer RBL,25, D(R),M(CR),15(11),1246,4,0.7,26.6,80.3,0.1,0.9,0.1,6.67
173,Charles Aránguiz Leverkusen,33, M(C),,16(10),1576,3,0.7,41.2,84.7,0.1,2.8,0.1,6.67
174,Santiago Ascacíbar Hertha Berlin,25, DMC,,27(1),2381,1,0.4,41.3,82.5,-,1.7,-,6.66
175,Chris Richards Hoffenheim,22, D(C),,13(6),1301,1,0.2,51.6,84.2,-,2.0,-,6.66
176,Lukas Nmecha Wolfsburg,23, AM(CR),FW,18(7),1633,-,0.6,14.8,68.2,0.2,0.4,-,6.66
177,Sebastian Polter Bochum,31, AM(R),FW,26(6),2259,1,0.9,15.0,53.9,-,0.2,-,6.66
178,Georginio Rutter Hoffenheim,20, FW,,13(20),1604,2,0.5,8.9,65.1,0.1,0.4,-,6.66
179,Oliver Baumann Hoffenheim,32, GK,,33,2970,-,-,40.4,78.2,-,5.5,-,6.66
180,Gerrit Holtmann Bochum,27, D(L),M(LR),22(6),1765,4,1,9.9,75.5,0.4,0.3,0.1,6.65
181,Jae-Sung Lee Mainz,30, AM(CL),FW,19(8),1449,3,0.7,22.5,74.2,0.3,0.7,0.1,6.65
182,Mitchel Bakker Leverkusen,22, D(L),M(L),19(6),1825,4,0.6,41.0,80.6,0.5,1.2,-,6.65
183,Lars Stindl Borussia M.Gladbach,34, M(CLR),FW,20(6),1637,5,1.2,30.7,82.3,0.2,1.0,0.2,6.64
184,Hiroki Ito Stuttgart,23, D(C),,26(3),2348,1,0.5,60.4,81.8,0.2,5.4,-,6.64
185,Kevin Mbabu Wolfsburg,27, D(R),M(R),14(10),1389,-,0.9,26.4,72.7,0.5,1.3,-,6.64
186,Stevan Jovetic Hertha Berlin,32, AM(CL),FW,13(5),1020,1,0.8,20.3,66.1,0.2,0.7,0.1,6.64
187,Robin Zentner Mainz,27, GK,,32,2880,-,-,26.1,63.9,-,4.6,-,6.64
188,Max Christiansen Greuther Fuerth,25, DMC,,22(5),2056,-,0.4,34.4,79.3,0.1,1.6,-,6.63
189,Vasilios Lampropoulos Bochum,32, D(C),,13,1169,-,0.1,33.6,81.5,-,4.1,-,6.63
190,Bastian Oczipka Union Berlin,33, D(CL),M(L),9(9),929,1,0.9,21.7,73.7,1.2,0.9,-,6.63
191,Daichi Kamada Eintracht Frankfurt,26, AM(CLR),FW,23(9),2146,3,1,26.0,79.4,0.2,0.9,0.1,6.63
192,Axel Witsel Borussia Dortmund,33, D(C),M(C),22(7),1946,-,0.2,44.9,93.2,-,0.9,-,6.62
193,Erhan Masovic Bochum,23, D(C),,16(3),1461,-,-,34.1,77.7,-,2.3,-,6.62
194,Marc Oliver Kempf Hertha Berlin,27, D(C),,12,1052,1,0.3,36.2,73.0,-,1.9,-,6.61
195,Christoph Baumgartner Hoffenheim,23, AM(CLR),FW,23(6),1899,2,0.7,23.1,72.6,0.3,1.0,0.1,6.61
196,André Hahn Augsburg,32, AM(CLR),FW,25(7),2112,2,0.6,12.5,53.9,0.4,0.5,-,6.61
197,Tiago Tomás Stuttgart,20, AM(CR),FW,13(1),1080,-,0.5,14.3,71.0,0.2,0.1,-,6.61
198,Exequiel Palacios Leverkusen,23, M(C),,12(11),1094,2,0.3,33.8,86.4,0.1,2.0,0.2,6.61
199,Maximilian Eggestein Freiburg,25, M(CR),,26(5),2205,2,0.7,29.7,74.4,0.1,0.9,-,6.6
200,Dennis Geiger Hoffenheim,24, M(C),,17(3),1385,2,1.2,36.8,85.6,0.8,2.3,0.1,6.6
201,Amine Adli Leverkusen,22, AM(CL),FW,13(12),1256,2,0.6,19.2,76.0,0.2,0.2,0.1,6.6
202,Maxim Leitsch Bochum,24, D(C),,17(2),1537,-,0.2,43.2,82.6,0.1,2.6,-,6.6
