,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
229,Teófilo Gutiérrez Colombia,37, FW,,4,305,1,0.8,22.5,72.2,-,0.5,0.3,6.85
230,Wilfried Bony Ivory Coast,33, FW,,2(1),168,-,0.7,10.3,87.1,-,0.3,-,6.84
231,Oribe Peralta Mexico,38, Forward,,4,303,1,1.3,18.5,74.3,-,0.8,-,6.84
232,Andranik Teymourian Iran,39, Midfielder,,3,270,-,-,26.7,75.0,0.3,1,-,6.83
233,Denis Glushakov Russia,35, M(C),,3,208,-,1,26.3,75.9,0.3,0.7,-,6.83
234,Renato Ibarra Ecuador,31, AM(R),,0(1),27,-,-,7.0,42.9,-,-,-,6.83
235,Stephan Lichtsteiner Switzerland,38, D(R),M(R),4,390,1,0.8,38.8,83.2,0.3,0.8,-,6.83
236,Hugo Lloris France,35, GK,,5,450,-,-,22.0,66.4,-,6.2,-,6.83
237,Fernando Gago Argentina,36, M(C),,3(3),374,-,1.7,60.7,90.1,-,4.7,0.2,6.82
238,Kostas Manolas Greece,31, D(C),,4,391,-,0.3,28.0,87.5,-,1.5,-,6.82
239,Maynor Figueroa Honduras,39, D(CL),M(L),3,270,-,-,51.3,77.3,-,6,-,6.81
240,Danijel Pranjic Croatia,40, D(L),M(C),2,165,1,0.5,33.0,89.4,1.5,1.5,-,6.81
241,Mauricio Isla Chile,34, D(R),M(CR),4,391,-,0.8,47.0,75.0,-,2,-,6.81
242,Ivica Olic Croatia,43, AM(LR),FW,3,229,-,1.3,17.0,62.7,0.7,-,-,6.81
243,José Vázquez Mexico,34, Midfielder,,3,270,-,0.7,48.3,91.0,-,2.7,-,6.81
244,Sol Bamba Ivory Coast,37, D(C),DMC,3,270,-,0.3,44.3,92.5,-,5.7,-,6.81
245,Yeltsin Tejeda Costa Rica,30, M(C),,5,396,-,-,34.6,81.5,-,3.2,-,6.81
246,Daniele De Rossi Italy,39, D(C),M(C),2,180,-,0.5,106.0,92.0,-,8.5,0.5,6.81
247,Giovani dos Santos Mexico,33, AM(CLR),FW,4,299,-,0.3,23.3,83.9,-,-,-,6.8
248,Egidio Arévalo Ríos Uruguay,40, DMC,,4,360,-,0.3,35.3,85.1,-,4.3,-,6.8
249,Fatau Dauda Ghana,37, keeper,,2,180,-,-,21.5,46.5,-,6,-,6.8
250,Granit Xhaka Switzerland,30, D(L),M(C),4,323,-,1.3,37.5,82.0,-,1.5,-,6.8
251,Joël Matip Cameroon,31, D(C),,2,180,-,0.5,25.0,78.0,-,1.0,-,6.8
252,Laurent Koscielny France,37, D(C),,2(2),223,-,-,23.0,87.0,-,2.3,-,6.8
253,Arturo Vidal Chile,35, M(CR),,3,235,-,0.3,40.3,77.7,-,2.3,0.3,6.8
