,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
21,Naldo Wolfsburg,40, D(C),,33,2970,2,0.4,50.8,80.8,-,6.5,-,7.54
22,Sokratis Papastathopoulos Borussia Dortmund,34, D(CR),,24(4),2265,2,0.4,53.5,81.7,-,6.2,-,7.54
23,Milan Badelj Hamburg,33, M(C),,29,2411,2,0.8,50.0,81.4,-,4.7,-,7.5
24,Javi Martínez Bayern,34, D(C),M(C),14(4),1341,-,0.1,60.7,89.5,-,5.1,-,7.5
25,Mario Mandzukic Bayern,36, M(L),FW,21(9),2028,4,1.0,17.7,72.7,0.1,0.3,-,7.5
26,Daniel Baier Augsburg,38, M(C),,34,3060,3,1.5,60.9,80.1,0.3,5.5,0.2,7.49
27,Santiago García Werder Bremen,34, D(CL),M(L),21(1),1851,-,0.6,31.0,59.4,0.4,1.2,-,7.47
28,Nuri Sahin Borussia Dortmund,34, M(C),,31(3),2779,2,1.2,60.6,79.5,0.9,4.6,0.2,7.46
29,Joël Matip Schalke,31, D(C),,31,2790,2,0.1,44.8,80.8,-,5.9,-,7.45
30,Klaas Jan Huntelaar Schalke,39, FW,,17(1),1463,-,0.5,24.3,74.2,-,0.8,0.1,7.45
31,Fabian Lustenberger Hertha Berlin,34, D(C),M(C),19,1710,-,0.2,49.9,85.0,-,8.7,-,7.44
32,André Hahn Augsburg,32, AM(CLR),FW,30(2),2736,7,1.1,22.7,57.3,1,0.8,-,7.43
33,Szabolcs Huszti Hannover,39, M(CLR),,30,2599,7,2.3,37.2,76.1,1.9,1.9,-,7.4
34,Admir Mehmedi Freiburg,31, M(CLR),FW,29(3),2618,4,1.0,29.3,76.7,0.2,0.9,0.1,7.4
35,Neven Subotic Borussia Dortmund,33, D(C),,10,826,-,0.3,60.3,83.4,-,7.6,-,7.4
36,Christoph Kramer Borussia M.Gladbach,31, M(C),,30(3),2660,1,0.6,57.6,88.6,-,3.3,0.1,7.39
37,Claudio Pizarro Bayern,44, AM(C),FW,6(11),704,2,0.8,20.3,80.9,-,1.2,0.1,7.39
38,Son Heung-Min Leverkusen,30, M(CLR),FW,29(2),2387,4,1.1,22.1,80.3,0.5,1.0,0.1,7.39
39,Johannes Geis Mainz,29, D(C),DMC,31(2),2798,5,2.1,48.5,75.7,1.9,8.1,-,7.38
