number,name,position,age,nation,team,value
221,Pierre Kalulu,Centre-Back,22,France,AC Milan,¢æ28.00m
222,Dominik Szoboszlai,Left Winger,21,Hungary,RB Leipzig,¢æ28.00m
223,Curtis Jones,Central Midfield,21,England,Liverpool FC,¢æ28.00m
224,Aaron Ramsdale,Goalkeeper,24,England,Arsenal FC,¢æ28.00m
225,Giacomo Raspadori,Second Striker,22,Italy,SSC Napoli,¢æ28.00m
226,Rodrigo Bentancur,Central Midfield,25,Uruguay,Tottenham Hotspur,¢æ28.00m
227,Davinson S?nchez,Centre-Back,26,Colombia,Tottenham Hotspur,¢æ28.00m
228,Marc Cucurella,Left-Back,24,Spain,Chelsea FC,¢æ28.00m
229,Robin Gosens,Left Midfield,28,Germany,Inter Milan,¢æ28.00m
230,Timothy Castagne,Right-Back,26,Belgium,Leicester City,¢æ28.00m
231,Renato Sanches,Central Midfield,25,Portugal,Paris Saint-Germain,¢æ28.00m
232,Konrad Laimer,Central Midfield,25,Austria,RB Leipzig,¢æ28.00m
233,Hakim Ziyech,Attacking Midfield,29,Morocco,Chelsea FC,¢æ28.00m
234,Ruslan Malinovskyi,Attacking Midfield,29,Ukraine,Atalanta BC,¢æ28.00m
235,Mario Pasalic,Attacking Midfield,27,Croatia,Atalanta BC,¢æ28.00m
236,John Stones,Centre-Back,28,England,Manchester City,¢æ28.00m
237,Eric Dier,Centre-Back,28,England,Tottenham Hotspur,¢æ28.00m
238,Leander Dendoncker,Defensive Midfield,27,Belgium,Wolverhampton Wanderers,¢æ28.00m
239,Kurt Zouma,Centre-Back,27,France,West Ham United,¢æ28.00m
240,Luis Alberto,Central Midfield,29,Spain,SS Lazio,¢æ28.00m
241,Emiliano Mart?nez,Goalkeeper,29,Argentina,Aston Villa,¢æ28.00m
242,Stefan de Vrij,Centre-Back,30,Netherlands,Inter Milan,¢æ28.00m
243,Duv?n Zapata,Centre-Forward,31,Colombia,Atalanta BC,¢æ28.00m
244,Mohamed Camara,Defensive Midfield,22,Mali,AS Monaco,¢æ27.00m
245,Isma?la Sarr,Right Winger,24,Senegal,Watford FC,¢æ27.00m
246,Denis Zakaria,Defensive Midfield,25,Switzerland,Juventus FC,¢æ27.00m
247,Donyell Malen,Centre-Forward,23,Netherlands,Borussia Dortmund,¢æ27.00m
248,Xaver Schlager,Central Midfield,24,Austria,RB Leipzig,¢æ27.00m
249,Ciro Immobile,Centre-Forward,32,Italy,SS Lazio,¢æ27.00m
250,Danilo,Defensive Midfield,21,Brazil,Sociedade Esportiva Palmeiras,¢æ25.00m
251,Tyrick Mitchell,Left-Back,22,England,Crystal Palace,¢æ25.00m
252,Pedro Porro,Right-Back,22,Spain,Sporting CP,¢æ25.00m
253,F?bio Vieira,Attacking Midfield,22,Portugal,Arsenal FC,¢æ25.00m
254,Luis Sinisterra,Left Winger,23,Colombia,Leeds United,¢æ25.00m
255,Tino Livramento,Right-Back,19,England,Southampton FC,¢æ25.00m
256,Jacob Ramsey,Central Midfield,21,England,Aston Villa,¢æ25.00m
257,Conor Gallagher,Central Midfield,22,England,Chelsea FC,¢æ25.00m
258,Nicol?s Gonz?lez,Left Winger,24,Argentina,ACF Fiorentina,¢æ25.00m
259,Juan Foyth,Right-Back,24,Argentina,Villarreal CF,¢æ25.00m
260,Aaron Wan-Bissaka,Right-Back,24,England,Manchester United,¢æ25.00m
261,Emerson Royal,Right-Back,23,Brazil,Tottenham Hotspur,¢æ25.00m
262,Matt?o Guendouzi,Central Midfield,23,France,Olympique Marseille,¢æ25.00m
263,Martin Terrier,Left Winger,25,France,Stade Rennais FC,¢æ25.00m
264,Youssef En-Nesyri,Centre-Forward,25,Morocco,Sevilla FC,¢æ25.00m
265,Matty Cash,Right-Back,25,Poland,Aston Villa,¢æ25.00m
266,James Justin,Right-Back,24,England,Leicester City,¢æ25.00m
267,Houssem Aouar,Central Midfield,24,France,Olympique Lyon,¢æ25.00m
268,Maxence Caqueret,Central Midfield,22,France,Olympique Lyon,¢æ25.00m
269,Boubacar Kamara,Defensive Midfield,22,France,Aston Villa,¢æ25.00m
270,Brenden Aaronson,Attacking Midfield,21,United States,Leeds United,¢æ25.00m
271,Callum Hudson-Odoi,Right Winger,21,England,Chelsea FC,¢æ25.00m
272,Leon Bailey,Left Winger,25,Jamaica,Aston Villa,¢æ25.00m
273,Sasa Kalajdzic,Centre-Forward,25,Austria,VfB Stuttgart,¢æ25.00m
274,Teun Koopmeiners,Defensive Midfield,24,Netherlands,Atalanta BC,¢æ25.00m
275,Diogo Costa,Goalkeeper,22,Portugal,FC Porto,¢æ25.00m
276,Boubakary Soumar?,Defensive Midfield,23,France,Leicester City,¢æ25.00m
277,Nicolas P?p?,Right Winger,27,Cote d'Ivoire,Arsenal FC,¢æ25.00m
278,Guido Rodr?guez,Defensive Midfield,28,Argentina,Real Betis Balompi?,¢æ25.00m
279,Merih Demiral,Centre-Back,24,Turkey,Atalanta BC,¢æ25.00m
280,Weston McKennie,Central Midfield,23,United States,Juventus FC,¢æ25.00m
281,Takehiro Tomiyasu,Right-Back,23,Japan,Arsenal FC,¢æ25.00m
282,Denzel Dumfries,Right Midfield,26,Netherlands,Inter Milan,¢æ25.00m
283,Naby Ke?ta,Central Midfield,27,Guinea,Liverpool FC,¢æ25.00m
284,Sa?d Benrahma,Left Winger,27,Algeria,West Ham United,¢æ25.00m
285,Donny van de Beek,Central Midfield,25,Netherlands,Manchester United,¢æ25.00m
286,Sergio Reguil?n,Left-Back,25,Spain,Tottenham Hotspur,¢æ25.00m
287,Viktor Tsygankov,Right Winger,24,Ukraine,Dynamo Kyiv,¢æ25.00m
288,Aleksandr Golovin,Attacking Midfield,26,Russia,AS Monaco,¢æ25.00m
289,Davide Calabria,Right-Back,25,Italy,AC Milan,¢æ25.00m
290,Unai Sim?n,Goalkeeper,25,Spain,Athletic Bilbao,¢æ25.00m
291,Joachim Andersen,Centre-Back,26,Denmark,Crystal Palace,¢æ25.00m
292,Amir Rrahmani,Centre-Back,28,Kosovo,SSC Napoli,¢æ25.00m
293,Jo?o Palhinha,Defensive Midfield,27,Portugal,Fulham FC,¢æ25.00m
294,I?aki Williams,Centre-Forward,28,Ghana,Athletic Bilbao,¢æ25.00m
295,Enes ?nal,Centre-Forward,25,Turkey,Getafe CF,¢æ25.00m
296,Oleksandr Zinchenko,Left-Back,25,Ukraine,Arsenal FC,¢æ25.00m
297,Jonathan Tah,Centre-Back,26,Germany,Bayer 04 Leverkusen,¢æ25.00m
298,Lucas Ocampos,Left Winger,28,Argentina,Sevilla FC,¢æ25.00m
299,Julian Brandt,Attacking Midfield,26,Germany,Borussia Dortmund,¢æ25.00m
300,Seko Fofana,Central Midfield,27,Cote d'Ivoire,RC Lens,¢æ25.00m
301,Nathan Ak?,Centre-Back,27,Netherlands,Manchester City,¢æ25.00m
302,Rapha?l Guerreiro,Left-Back,28,Portugal,Borussia Dortmund,¢æ25.00m
