,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
194,Alessandro Florenzi AC Milan,31, D(R),M(CLR),12(12),1152,-,0.5,28.0,82.4,0.6,2.6,0.1,6.63
195,Stefano Sensi Sampdoria,27, AM(C),,10(1),761,-,0.8,34.7,82.7,0.1,1.5,0.1,6.63
196,Bram Nuytinck Udinese,32, D(C),,23(4),2037,-,0.1,33.6,84.3,-,2.2,-,6.63
197,Silvan Hefti Genoa,24, D(R),,14(2),1290,-,0.6,24.3,70.4,0.7,1.1,0.1,6.63
198,Davide Zappacosta Atalanta,30, D(R),M(LR),29(5),2360,5,1.0,35.3,86.1,0.6,0.7,-,6.63
199,Brahim Díaz AC Milan,23, AM(CLR),,25(6),1872,3,1.0,22.5,86.0,0.1,0.6,-,6.62
200,Alexis Sánchez Inter,33, M(CLR),FW,7(20),863,2,0.7,15.5,81.1,0.3,1.2,0.1,6.62
201,Igor Julio Fiorentina,24, D(C),M(L),23(7),2240,-,0.2,55.9,91.9,-,3.9,-,6.62
202,Alex Ferrari Sampdoria,28, D(CR),,20(3),1653,-,0.1,34.4,83.8,-,1.7,-,6.62
203,Matteo Pessina Atalanta,25, AM(CR),,18(9),1444,1,0.9,32.0,82.6,0.1,0.7,-,6.62
204,Koffi Djidji Torino,29, D(CL),,21(4),1738,-,0.1,32.1,84.4,0.2,1.5,-,6.61
205,Jérémie Boga Sassuolo,25, AM(CLR),FW,8(4),672,2,0.6,21.4,83.3,0.1,0.2,0.1,6.61
206,Andrea Consigli Sassuolo,35, GK,,37,3322,-,-,34.9,77.0,-,7.3,-,6.61
207,Rolando Mandragora Torino,25, DMC,,16(5),1319,2,1.5,34.2,86.4,1.2,1.0,-,6.61
208,Arthur Theate Bologna,22, D(C),,28(3),2428,1,0.2,46.6,83.7,0.1,2.8,-,6.61
209,Roberto Soriano Bologna,31, AM(CLR),,32(3),2639,4,1.4,34.8,82.0,0.3,0.9,0.2,6.61
210,Mattia De Sciglio Juventus,29, D(CLR),M(LR),13(7),1168,2,1,26.6,81.8,1.1,2.1,-,6.61
211,Pawel Dawidowicz Verona,27, D(C),,13(4),1196,-,0.4,34.4,86.3,-,1.2,-,6.6
212,Pietro Terracciano Fiorentina,32, GK,,31(1),2860,-,-,43.3,77.7,-,10.0,-,6.6
213,Berat Djimsiti Atalanta,29, D(C),,25(6),2257,1,0.4,44.4,83.0,0.2,1.7,-,6.6
214,Rui Patrício Roma,34, GK,,38,3420,-,-,24.6,74.0,-,5.9,-,6.6
215,Rick Karsdorp Roma,27, D(R),M(R),32(4),2890,2,1.2,39.9,83.2,0.8,2.7,0.1,6.59
216,Luca Pellegrini Juventus,23, D(L),M(L),15(3),1117,1,0.7,29.7,80.6,0.8,1.8,0.1,6.59
217,Aleksey Miranchuk Atalanta,26, M(CR),FW,7(12),769,5,1.2,19.1,82.9,0.4,0.4,0.2,6.59
218,Gianluca Mancini Roma,26, D(C),DMC,33,2884,-,0.2,54.3,85.0,0.1,3.3,-,6.59
219,Salvatore Sirigu Genoa,35, GK,,37,3330,-,-,29.2,62.8,-,8.2,-,6.59
220,Simon Kjaer AC Milan,33, D(C),,10(1),806,-,0.2,41.5,88.4,0.1,3.0,0.2,6.59
221,Nicolò Casale Verona,24, D(C),,30(6),2596,2,0.3,31.9,81.2,0.1,1.5,-,6.58
222,Daniele Padelli Udinese,36, GK,,3,270,-,-,30.7,65.2,-,3.7,-,6.58
223,Marco Sportiello Atalanta,30, GK,,6,451,-,-,17.0,69.6,-,2.0,-,6.58
224,Kevin Agudelo Spezia,23, AM(CR),FW,12(11),1236,1,0.4,15.7,76.4,0.1,0.2,-,6.58
225,Adam Marusic Lazio,29, D(CLR),M(LR),30(3),2720,1,0.2,50.0,89.4,0.1,1.5,-,6.58
226,Ricardo Rodríguez Torino,30, D(CL),M(L),28(6),2472,1,0.6,40.8,87.5,0.8,2.2,-,6.58
227,Alessandro Buongiorno Torino,23, D(C),,12(11),1184,2,0.2,23.8,81.6,-,0.8,-,6.58
228,Juan Musso Atalanta,28, GK,,33,2932,-,-,23.7,70.3,-,5.8,-,6.58
229,Matteo Darmian Inter,32, D(CLR),M(LR),18(7),1509,1,0.8,20.4,80.2,0.5,0.5,-,6.58
230,Raoul Bellanova Cagliari,22, M(R),,27(4),2498,2,1,24.0,75.8,1,1.1,-,6.58
231,Alex Sandro Juventus,31, D(CL),M(L),17(11),1776,1,0.8,33.9,85.9,0.4,1.9,-,6.57
