,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating
208,Arthur Theate ,22, D(C),,28(3),2428,1.1,1.4,2,0.5,6.61,0
210,Mattia De Sciglio ,29, D(CLR),M(LR),13(7),1168,1.2,0.5,1.3,0,6.61,0
211,Pawel Dawidowicz ,27, D(C),,13(4),1196,1.8,1.2,3,0.6,6.6,0
213,Berat Djimsiti ,29, D(C),,25(6),2257,1.4,1,1.7,0.4,6.6,0
215,Rick Karsdorp ,27, D(R),M(R),32(4),2890,1.5,0.9,0.6,0.1,6.59,0
216,Luca Pellegrini ,23, D(L),M(L),15(3),1117,1.3,0.3,0.9,0.1,6.59,0
218,Gianluca Mancini ,26, D(C),DMC,33,2884,1.2,1.2,2,0.6,6.59,0
221,Nicolò Casale ,24, D(C),,30(6),2596,1.3,1.4,2.4,0.3,6.58,0
225,Adam Marusic ,29, D(CLR),M(LR),30(3),2720,0.9,1.2,1.8,0.2,6.58,0
226,Ricardo Rodríguez ,30, D(CL),M(L),28(6),2472,1.1,1.2,1.4,0.2,6.58,0
227,Alessandro Buongiorno ,23, D(C),,12(11),1184,0.9,1.3,1.9,0.3,6.58,0
229,Matteo Darmian ,32, D(CLR),M(LR),18(7),1509,1.3,0.8,0.9,0,6.58,0
231,Alex Sandro ,31, D(CL),M(L),17(11),1776,1,1,1.3,0.2,6.57,0
242,Matias Viña ,24, D(L),M(L),18(8),1566,1.8,1,1,0.1,6.57,0
245,Rogerio ,24, D(L),M(L),19(4),1733,0.9,0.8,1.7,0.3,6.56,0
247,Ridgeciano Haps ,29, D(L),M(L),24(1),2062,1.4,1.2,1.9,0.5,6.56,0
250,Marash Kumbulla ,22, D(C),,13(4),1030,1.2,0.9,1.5,0.5,6.56,0
252,Kelvin Amian Spezia,24, D(CLR),,31(1),2652,2.1,1,2,0.7,6.56,0
253,Andrea Cambiaso ,22, D(R),M(L),21(5),1795,1.8,0.9,1.1,0.3,6.56,0
254,Daniele Rugani ,28, D(C),,9(3),881,0.7,0.9,3.8,0.3,6.56,0
255,Lorenzo De Silvestri ,34, D(R),M(R),27(4),2300,0.7,0.8,1.5,0.2,6.55,0
259,Nehuén Pérez ,22, D(C),,19(1),1695,2.2,1.1,2.2,0.5,6.54,0
260,David Zima ,21, D(C),,13(7),1310,1,1.2,2.1,0.7,6.54,0
268,Matteo Lovato ,22, D(C),,14(2),1243,1.4,1.8,2.6,0.6,6.53,0
271,Gian Marco Ferrari ,30, D(C),,35(1),3127,0.4,1.2,3.1,0.8,6.53,0
276,Maya Yoshida ,34, D(CR),,19(7),1823,0.7,1.1,2.7,0.8,6.53,0
277,Martin Erlic Spezia,24, D(C),,30,2579,0.9,0.9,4,1.3,6.53,0
281,Gary Medel ,35, D(C),DMC,32(1),2831,1.2,1.3,3.4,0.6,6.52,0
283,Fabiano Parisi ,21, D(L),,16(9),1474,1.4,0.9,1.4,0.4,6.52,0
284,Elseid Hysaj ,28, D(LR),M(R),24(5),2031,1.6,0.8,0.9,0.2,6.52,0
285,Manuel Lazzari ,28, D(R),M(R),16(15),1655,0.9,0.4,0.5,0.1,6.51,0
286,Nikola Maksimovic ,30, D(CR),M(R),13(1),1116,1,0.9,4.1,0.8,6.51,0
287,Petko Hristov Spezia,23, D(C),,13(4),1245,1,1.1,2.7,1.4,6.51,0
289,Juan Jesus ,31, D(CL),,14(7),1273,1.2,0.4,1.5,0.8,6.51,0
293,Adama Soumaoro ,30, D(CR),,26(2),2267,0.5,1.2,3.3,0.6,6.5,0
296,Lorenzo Tonelli ,32, D(C),,8(6),868,1.2,1.4,2,0.6,6.49,0
297,Lucas Leiva ,35, D(C),M(C),19(16),1698,1.6,0.8,1,0.3,6.49,0
298,Tommaso Augello ,27, D(L),,25(11),2398,1,0.8,1.5,0.1,6.49,0
308,Cristian Ansaldi ,35, D(CLR),M(CLR),5(14),678,1.1,0.3,0.5,0.1,6.48,0
312,Pietro Ceccaroni ,26, D(C),,35,3122,1.6,0.9,4,0.9,6.47,0
313,Arkadiusz Reca Spezia,27, D(L),M(L),22(3),1779,1.2,1.3,1.7,0.3,6.47,0
323,Giuseppe Pezzella ,24, D(L),M(L),10(11),1068,1.3,0.4,0.5,0.2,6.46,0
324,Kevin Bonifazi ,26, D(C),,14(8),1209,1.1,0.7,1.6,0.3,6.46,0
327,Norbert Gyömbér ,30, D(CR),DMC,30(1),2566,1.7,1.4,3.9,0.8,6.46,0
330,Riccardo Gagliolo ,32, D(CL),,12(5),1135,1.4,1.6,3,0.5,6.46,0
331,Salvador Ferrer Spezia,24, D(R),,14(13),1489,1.2,0.7,1.6,0.5,6.45,0
332,Ivan Radovanovic ,33, D(C),DMC,12(2),1055,0.8,0.5,2,0.5,6.45,0
334,Leo Ostigard ,22, D(C),,13(2),1172,1.1,0.5,3.4,0.7,6.45,0
335,Luca Ceppitelli ,33, D(C),,16(8),1445,1,1,2.3,0.6,6.44,0
336,Hans Hateboer ,28, D(R),M(R),16(5),1391,1,0.3,0.9,0,6.44,0
2,Trent Alexander-Arnold ,23, D(R),M(R),32,2854,1.3,1.3,1,0.1,7.52,0
9,João Cancelo ,28, D(LR),M(R),36,3228,2.3,1.6,0.9,0.1,7.42,0
12,Joël Matip ,31, D(C),,31,2790,1.5,1.4,2.9,0.5,7.36,0
19,Reece James ,22, D(CR),DMC,22(4),1868,1.3,0.7,0.7,0.1,7.24,0
22,Andrew Robertson ,28, D(L),M(L),29,2541,1.2,0.8,1.8,0.1,7.23,0
27,Virgil van Dijk ,31, D(C),,34,3060,0.5,0.9,3.1,0.4,7.18,0
34,John Stones ,28, D(CR),,12(2),1118,0.4,0.8,1.8,0.2,7.1,0
35,Declan Rice ,23, D(C),DMC,35(1),3178,2.2,1.8,1.4,0.6,7.1,0
37,Marcos Alonso ,31, D(CL),M(L),25(3),2173,1.5,1.5,1.8,0.2,7.1,0
41,Thiago Silva ,37, D(C),,28(4),2651,1,1.4,3,1,7.08,0
43,Bukayo Saka ,20, D(L),M(CLR),36(2),2996,1.1,0.6,0.6,0.1,7.06,0
46,Oleksandr Zinchenko ,25, D(L),M(CLR),10(5),1045,1.3,0.9,0.7,0.2,7.05,0
47,Kostas Tsimikas ,26, D(L),,9(4),874,2.1,0.8,1.5,0.2,7.04,0
50,Trevoh Chalobah ,23, D(CR),DMC,17(3),1451,2,1,2.1,0.3,7.03,0
56,Fabinho ,28, D(CR),DMC,26(3),2316,1.6,1.4,0.8,0.3,7,0
57,Christian Nørgaard ,28, D(C),DMC,35,3059,3.1,1.8,1.6,0.3,7,0
61,Matt Targett ,26, D(L),M(L),16,1440,2.6,1.6,2.4,0.3,6.99,0
64,Dan Burn ,30, D(CL),M(L),16,1440,1,1.3,6.1,0.9,6.98,0
65,Ethan Pinnock ,29, D(C),,32,2698,1.6,1.4,4.6,0.3,6.97,0
66,James Tarkowski ,29, D(C),,35,3107,1.8,1.4,5.2,1.7,6.97,0
69,Rayan Aït-Nouri ,21, D(L),M(L),20(3),1828,2.8,1,1.3,0.1,6.97,0
72,Matt Doherty ,30, D(LR),M(LR),9(6),874,1.2,0.9,1.3,0.1,6.96,0
75,Thomas Partey ,29, D(R),M(CR),23(1),2032,1.8,1,1.4,0.2,6.96,0
77,Sergio Reguilón ,25, D(L),M(L),22(3),1923,1.6,1.2,1.6,0.3,6.95,0
78,Rúben Dias ,25, D(C),,27(2),2404,0.9,0.8,2.2,0.4,6.95,0
79,Marc Cucurella ,24, D(CL),M(L),35,3092,2.7,0.9,1.9,0.4,6.94,0
82,Lucas Digne ,29, D(CL),M(L),16,1272,0.8,1.4,2.3,0.5,6.94,0
83,Wilfred Ndidi ,25, D(C),DMC,18(1),1619,3.2,2.2,2.7,0.4,6.93,0
84,Cristian Romero ,24, D(C),,21(1),1846,2.8,1.5,3.3,1,6.92,0
87,Ben Mee ,32, D(CL),,21,1840,1.2,1.1,4.4,1,6.92,0
88,Nathan Aké ,27, D(CL),DMC,10(4),921,1.1,0.6,1.5,0.4,6.92,0
90,Michail Antonio ,32, D(R),M(CLR),34(2),2981,0.6,0.1,0.4,0,6.92,0
91,Aaron Wan-Bissaka ,24, D(R),M(R),20,1794,2.5,1.7,1.6,0.7,6.91,0
92,Matty Cash ,25, D(R),M(CLR),38,3380,2.3,1.3,2.2,0.4,6.91,0
93,Ricardo Pereira ,28, D(LR),M(R),13(1),994,2.6,1.2,2.1,0.1,6.91,0
95,Andreas Christensen ,26, D(C),DMC,17(2),1496,0.7,1.5,2.7,0.3,6.9,0
96,Aymeric Laporte ,28, D(CL),,33,2836,1,0.6,1.8,0.3,6.9,0
